,NK cells,B cells,T cells
Samples_A1_A01_009.fcs,377,187,433
Samples_A2_A02_010.fcs,378,183,427
Samples_A3_A03_011.fcs,384,225,484
Samples_A4_A04_012.fcs,381,183,387
Samples_A5_A05_013.fcs,370,217,427
Samples_A6_A06_014.fcs,538,374,665
Samples_A7_A07_015.fcs,525,378,685
Samples_A8_A08_016.fcs,570,396,712
Samples_B1_B01_018.fcs,320,116,299
Samples_B2_B02_019.fcs,302,127,308
Samples_B3_B03_020.fcs,298,144,329
Samples_B4_B04_021.fcs,275,117,270
Samples_B5_B05_022.fcs,332,175,378
Samples_B6_B06_023.fcs,420,255,461
Samples_B7_B07_024.fcs,541,395,681
Samples_B8_B08_025.fcs,429,291,457
Samples_C1_C01_026.fcs,299,102,240
Samples_C2_C02_027.fcs,305,102,253
Samples_C3_C03_028.fcs,281,107,131
Samples_C4_C04_029.fcs,337,111,254
Samples_C5_C05_030.fcs,362,158,336
Samples_C6_C06_031.fcs,502,306,546
Samples_C7_C07_032.fcs,507,310,553
Samples_C8_C08_033.fcs,516,341,571
Samples_D1_D01_034.fcs,304,111,212
Samples_D2_D02_035.fcs,336,109,266
Samples_D3_D03_036.fcs,246,75.8,125
Samples_D4_D04_037.fcs,290,114,246
Samples_D5_D05_038.fcs,287,151,298
Samples_D6_D06_039.fcs,407,259,441
Samples_D7_D07_040.fcs,470,326,564
Samples_D8_D08_041.fcs,488,324,567
Samples_E1_E01_042.fcs,215,83.5,233
Samples_E2_E02_043.fcs,295,93.8,252
Samples_E3_E03_044.fcs,267,83.5,155
Samples_E4_E04_045.fcs,282,100,250
Samples_E5_E05_046.fcs,363,169,316
Samples_E6_E06_047.fcs,491,309,573
Samples_E7_E07_048.fcs,510,362,657
Samples_E8_E08_049.fcs,493,369,641
Samples_F1_F01_050.fcs,298,91.2,258
Samples_F2_F02_051.fcs,304,92.5,262
Samples_F3_F03_052.fcs,279,87.4,171
Samples_F4_F04_053.fcs,331,111,282
Samples_F5_F05_054.fcs,395,186,369
Samples_F6_F06_055.fcs,546,325,556
Samples_F7_F07_056.fcs,627,454,733
Samples_F8_F08_057.fcs,549,365,605
Samples_G1_G01_058.fcs,244,75.8,249
Samples_G2_G02_059.fcs,270,82.2,234
Samples_G3_G03_060.fcs,273,82.2,142
Samples_G4_G04_061.fcs,306,100,257
Samples_G5_G05_062.fcs,348,168,345
Samples_G6_G06_063.fcs,473,305,564
Samples_G7_G07_064.fcs,552,356,644
Samples_G8_G08_065.fcs,528,383,690
Samples_H1_H01_066.fcs,226,64.2,177
Samples_H2_H02_067.fcs,266,78.4,242
Samples_H3_H03_068.fcs,266,75.8,142
Samples_H4_H04_069.fcs,278,100,242
Samples_H5_H05_070.fcs,332,168,350
Samples_H6_H06_071.fcs,424,287,535
Samples_H7_H07_072.fcs,534,359,639
Samples_H8_H08_073.fcs,487,351,630
