,Lymphocytes/B cells | Geometric Mean (Comp-APC-A),"Lymphocytes/NonT, nonB | Geometric Mean (Comp-APC-A)",Lymphocytes/T cells | Geometric Mean (Comp-APC-A)
c1_t1_a_A01_001.fcs,19.3,-16,116
c1_t1_b_A02_002.fcs,17.1,-12.8,116
c1_t2_a_A03_003.fcs,16,-19.9,96.8
c1_t2_b_A04_004.fcs,22.4,-2.48,122
c1_t3_a_A05_005.fcs,20.8,-5.74,117
c1_t3_b_A06_006.fcs,25.5,-1.74,144
c1_t4_a_A07_007.fcs,34.8,11.1,158
c1_t4_b_A08_008.fcs,33.2,20.2,140
c1_t5_a_A09_009.fcs,21.8,-19.6,100
c1_t5_b_A10_010.fcs,23.1,-15.2,92.5
c1_t6_a_A11_011.fcs,15.3,-21.2,68.4
c1_t6_b_A12_012.fcs,-14.7,-38.2,-17.9
c2_t1_a_B01_013.fcs,13.9,-30.2,66.9
c2_t1_b_B02_014.fcs,9.52,-26.8,68.5
c2_t2_a_B03_015.fcs,18,-24.6,76.6
c2_t2_b_B04_016.fcs,14.2,-25.9,71.8
c2_t3_a_B05_017.fcs,20.1,-28,70
c2_t3_b_B06_018.fcs,19.3,-18.3,84.8
c2_t4_a_B07_019.fcs,22.6,-21,85.1
c2_t4_b_B08_020.fcs,21.4,-25.9,83.4
c2_t5_a_B09_021.fcs,12.9,-26.4,61.1
c2_t5_b_B10_022.fcs,16.4,-29.5,56.8
c2_t6_a_B11_023.fcs,-7.65,-30.7,-0.51
c2_t6_b_B12_024.fcs,11.7,-50.3,-18.9
c3_t1_a_C01_025.fcs,26.3,-14.1,102
c3_t1_b_C02_026.fcs,40.4,-6.8,138
c3_t2_a_C03_027.fcs,32.3,-6.81,116
c3_t2_b_C04_028.fcs,49.1,-25.7,94.9
c3_t3_a_C05_029.fcs,24.9,-10.9,86.3
c3_t3_b_C06_030.fcs,27.4,-10.2,90.2
c3_t4_a_C07_031.fcs,31.7,-9.99,101
c3_t4_b_C08_032.fcs,27.6,-15.3,81.1
c3_t5_a_C09_033.fcs,15,-20.9,50.4
c3_t5_b_C10_034.fcs,50.4,-30,57
c3_t6_a_C11_035.fcs,12.6,-29.1,25.1
c3_t6_b_C12_036.fcs,44.1,-20.1,34.8
c4_t1_a_D01_037.fcs,24,-18.6,67.1
c4_t1_b_D02_038.fcs,26.3,-24.6,50.3
c4_t2_a_D03_039.fcs,30.7,-25.6,51.9
c4_t2_b_D04_040.fcs,32.7,-28.5,52.6
c4_t3_a_D05_041.fcs,32.2,-24.5,45.4
c4_t3_b_D06_042.fcs,51.6,-18.3,56.7
c4_t4_a_D07_043.fcs,43.7,-18.9,58
c4_t4_b_D08_044.fcs,74.7,-18.9,75.4
c4_t5_a_D09_045.fcs,38.5,-20.7,53.2
c4_t5_b_D10_046.fcs,59,-8.79,58.1
c4_t6_a_D11_047.fcs,12.9,-24.2,1.98
c4_t6_b_D12_048.fcs,90.1,7.98,81.4
c5_t1_a_E01_049.fcs,22.5,-15.5,57.9
c5_t1_b_E02_050.fcs,32.1,-22,41
c5_t2_a_E03_051.fcs,26,-22.5,36.6
c5_t2_b_E04_052.fcs,63.3,-28.4,49.1
c5_t3_a_E05_053.fcs,38.5,-32.5,40.9
c5_t3_b_E06_054.fcs,47.5,2.68,69.4
c5_t4_a_E07_055.fcs,37.5,-13.4,43.8
c5_t4_b_E08_056.fcs,85.1,-3.41,88.3
c5_t5_a_E09_057.fcs,43.4,-23.1,37.9
c5_t5_b_E10_058.fcs,85.4,-0.048,87.4
c5_t6_a_E11_059.fcs,34.4,-14.2,19.6
c5_t6_b_E12_060.fcs,103,32.2,109
c6_t1_a_F01_061.fcs,35.1,-3.17,72.7
c6_t1_b_F02_062.fcs,76.7,2.72,93.4
c6_t2_a_F03_063.fcs,44.3,0.23,70.1
c6_t2_b_F04_064.fcs,118,24.7,127
c6_t3_a_F05_065.fcs,38,1.76,43.8
c6_t3_b_F06_066.fcs,162,68.7,217
c6_t4_a_F07_067.fcs,93.6,20.3,106
c6_t4_b_F08_068.fcs,195,74.1,248
c6_t5_a_F09_069.fcs,83.1,28.3,110
c6_t5_b_F10_070.fcs,179,52,240
c6_t6_a_F11_071.fcs,93.2,36.5,99.9
c6_t6_b_F12_072.fcs,180,78.5,214
c7_t1_a_G01_073.fcs,72.7,19,121
c7_t1_b_G02_074.fcs,170,59.1,212
c7_t2_a_G03_075.fcs,101,34.2,126
c7_t2_b_G04_076.fcs,205,64.1,250
c7_t3_a_G05_077.fcs,109,12.2,128
c7_t3_b_G06_078.fcs,187,76.7,268
c7_t4_a_G07_079.fcs,108,43.7,151
c7_t4_b_G08_080.fcs,197,72.5,281
c7_t5_a_G09_081.fcs,97.7,43.2,158
c7_t5_b_G10_082.fcs,175,53.1,247
c7_t6_a_G11_083.fcs,104,44,118
c7_t6_b_G12_084.fcs,147,67,185
c8_t1_a_H01_085.fcs,53.5,29.9,106
c8_t1_b_H02_086.fcs,145,59.1,182
c8_t2_a_H03_087.fcs,94.3,30,106
c8_t2_b_H04_088.fcs,174,63.8,229
c8_t3_a_H05_089.fcs,106,28.9,126
c8_t3_b_H06_090.fcs,175,71.3,255
c8_t4_a_H07_091.fcs,115,43.3,144
c8_t4_b_H08_092.fcs,176,68.8,258
c8_t5_a_H09_093.fcs,120,41.3,155
c8_t5_b_H10_094.fcs,165,53.3,249
c8_t6_a_H11_095.fcs,104,64.3,134
c8_t6_b_H12_096.fcs,189,54.7,192
