Dose (pM),Interferon,0,5,15,30,60
10,Alpha,300,150,270,230,675
10,Beta,300,1110,1195,1520,825
10,Alpha_std,90,110,150,110,285
10,Beta_std,90,315,340,215,185
90,Alpha,295,1510,1730,955,1220
90,Beta,295,1890,3900,5300,2300
90,Alpha_std,90,340,380,185,310
90,Beta_std,90,270,525,995,1075
600,Alpha,275,3170,4505,3315,1685
600,Beta,275,6120,10715,13333,6795
600,Alpha_std,275,625,770,1080,680
600,Beta_std,275,625,2345,4600,2270
4000,Alpha,,,21660,23000,1600
2000,Beta,,10000,21600,19200,10000
4000,Alpha_std,,,5000,833,680
2000,Beta_std,,1600,4800,4000,1600
8000,Alpha,,,19167,24600,3200
11000,Beta,,13680,20800,20000,1075
8000,Alpha_std,,,2500,833,1000
11000,Beta_std,,1600,4000,4400,1600
