,kpa,kSTATbinding,kSOCSon,kd4,k_d4,delR,meanR,kloc,kSOCSmRNA,mRNAdeg,mRNAtrans,kSOCS,gamma
225,9.192903538740431,3.907377561040761e-06,6.931455858430515e-06,1.3804021572395864,0.07470974194590863,-2225.468592616414,4477.7783596891495,0.08893055502685901,0.13261540497996369,8.115247646573766e-06,0.012804045102630687,0.0004955519215364612,1.10646957700697
285,6.5682692249797245,3.057791737771673e-05,6.6878888737596765e-06,0.9675934228346252,0.198833423935264,-6939.83526022162,3844.228022419802,0.043577203010411666,0.29796143416445425,7.575553911756256e-06,0.023205506554574176,0.00012758836721300882,0.9738519981385416
345,6.985834636646443,2.188579273304625e-05,1.1126867939016929e-05,1.0692188437907797,0.01146338637357753,-11216.597848504474,6190.427685653954,0.03999242938167884,0.6774932353904175,1.5420404389442452e-05,0.011720658385104029,5.082585038918004e-05,0.8528085149938406
405,5.506906576661236,1.6731787817059086e-05,1.2313302226522873e-05,2.198596894635489,0.004901692605254953,-8981.512164960313,6187.922253734888,0.024305236564751764,0.5737286813996407,1.4975158265791816e-05,0.01345737898497266,5.4855995958352725e-05,0.7473143045741798
465,1.939587986167261,3.1969567693788086e-06,6.628242891582667e-06,2.5279382469822806,0.018763189866587145,-6551.716809689922,6785.586897808622,0.021501362780606915,0.948662785685634,5.7237076513025415e-05,0.06466776881582008,0.00010213938149166556,2.3975707387389247
525,2.7381609896152193,7.055437727147532e-05,6.851744710976815e-06,1.454099918164665,0.033197916714700355,-8946.553843745316,5167.123741200896,0.0311053508842324,1.474458034164825,7.556799195877779e-05,0.0968466276815029,2.550365540611233e-05,0.6009922038860207
585,4.872079426553906,1.3108862970373855e-05,3.10362429130314e-06,0.5203568193155216,0.007330533844438356,-6876.027416185895,3756.5846361039207,0.024391017786866757,2.541900116759515,9.263636030819565e-05,0.08744867716941081,6.529619271764201e-05,2.251958013374175
645,3.3574097482581586,5.372742232696093e-06,2.888079078843202e-06,1.6390342610902051,0.008807238808717659,-6970.7634985368295,5931.896649915995,0.025038367571551968,0.6293092047950515,6.0324460114470715e-05,0.5408795158522848,0.00015213835982099043,1.3895691535123984
705,2.6963817761594204,1.481752455438204e-05,5.507607886995747e-06,0.6442966995952735,0.1869405525605156,-7607.956546575531,5817.962195453538,0.053976721989753736,0.7149462885032153,0.00019567578443450607,1.3551190288182469,0.00015472899574194972,0.9169600215299912
765,3.944806376202936,4.444864079080076e-06,3.2551593291018955e-06,1.2048935452494276,0.05654627782647342,-8477.213917802825,5756.875967147008,0.04229257599916418,0.7746142479097938,0.0001577086975414662,3.6687067234416313,0.00029190169641331206,2.25217817142564
825,2.581464276301512,3.456908517714808e-05,5.095604275254133e-06,1.3242236165418126,0.011118516691361402,-6936.332344849143,3887.195674311165,0.036682174073095375,0.3763302228305681,0.0002207267158318881,9.721834111651155,0.0003916431094482975,1.5156905472102893
885,4.351045417759513,3.866970201605054e-06,1.0381225814308208e-06,2.711234876990109,0.1554367819645709,-4743.715392098971,5019.886650362558,0.04819110412674195,1.1079424096985797,0.00042028144018010655,5.041911304476036,0.0008255351085298193,2.1620186714997285
225,62.32498622047664,0.0013907705710664055,0.0005240707942853436,309.81941266876936,384.024314991632,-9018.451202481248,6432.552177677379,0.1826311092451818,9.888247379850738e-05,0.00045294592829502376,0.0032413980427314767,2.930744911119886,0.6520097047742384
285,44.208697925082,0.011016254436775858,0.00034506172009916467,385.9087520627885,779.0155023471413,-7781.836569744247,4109.502975750918,0.3897922614595632,7.896701344983312e-05,0.000279120804790942,0.01205706712684282,3.8549699194507614,0.9697999594471484
345,38.33125200972442,0.04595755321846181,0.0006891733957021287,2674.585918830849,5323.852286197516,-6851.429343900546,4164.796514266813,0.2911729734256226,8.086943868813195e-05,0.002362152824284026,0.031440165318316005,27.12638123828676,0.8843924079699707
405,20.121418071923248,0.315273659109751,0.0015988362764232087,15823.575451775549,157279.85756342494,-877.8659971235596,5212.233630961297,0.047841228107206174,7.787809143637066e-05,0.0012870262259225768,0.022328625653207274,109.87716885527621,0.8237245230715883
465,25.47214030358727,1.0917625882748894,0.004908550601378332,30832.743678015435,560110.152563352,1495.796304179878,3185.128688300352,0.04080737220166193,8.18489813291674e-05,0.0012287282394867394,0.02542116416857437,278.25152237036264,1.593922442653405
525,40.12115048755194,5.980335813617125,0.00603840511373568,67511.43430999779,3569160.2964832583,1959.489496044356,3728.840106393373,0.0641355534508204,0.00024518200127675803,0.0011168783026592544,0.029530290620409957,1047.4755044241683,1.7166326846002948
585,48.10213413307096,61.920106070050544,0.0069850507405824725,98850.69362960276,52593773.66571983,1754.406192872412,5518.607698427372,0.15375353086771626,0.0004950886558702642,0.0006841790928354822,0.12959807831016948,2329.661722952821,1.1534124832284078
645,66.27183617802261,107.8359501217954,0.010782193215981659,163362.59781930016,353737450.68941903,740.1424837324357,10703.134889559376,0.02822569644940228,0.0008019498298750248,0.0006069153059770629,0.19409468305089228,2795.6507844397315,1.1752698146628555
705,66.51992566091714,598.6169883166941,0.008731608318961187,300711.2338629766,2592105080.988357,-3807.387279756121,11485.667883944356,0.028203765837557782,0.0014196240236242347,0.00021649928609955503,0.042273409810435265,8063.2199300195,1.3264146333145852
765,314.0737591902476,9016.484738276607,0.03189587815188872,558132.9603767071,19978739689.103558,-1094.4762540734894,9039.162500693377,0.02494444119121093,0.006219419988629424,0.0011732523904066602,0.09146842752394486,2520.7111435618012,0.8758012863955512
825,203.99856091016144,11154.521086840155,0.097150913936581,513685.2614275625,32039658257.750618,-1288.5977913529869,8445.675586202024,0.027992936653003026,0.009482132396108293,0.000943509102479225,0.291624591818815,3068.832973400097,1.472348341133575
885,304.36427574171137,50931.70609474409,0.4699479425626682,1676329.6618728316,367465347486.7358,433.2694650322595,8750.341994890976,0.018182624773686,0.013600081077556624,0.0010212272689371718,3.1527633080140287,7606.4067523463955,2.9148453924932154
225,9.119515606744324,0.00019830407312026928,2.4524604327958513e-05,0.7749819628909731,0.5683289687091246,-407.0597624072353,647.5881462171851,0.00028535201353413123,9.308915297188152e-05,2.1877179209454383,0.033450052674436945,8.13057114799028e-06,0.4339375828909503
285,8.038704016825296,0.0007419861956291072,1.0981480038411487e-05,0.7965624525377158,0.8790559114777727,-58.641739454955136,356.4631117265684,0.0004554149971769436,3.8316461331918485e-05,1.8734321931108244,0.06795316780399971,1.7774293297773417e-05,0.4489818336486183
345,4.419193153234642,0.0003103399990348766,6.278330658850963e-06,0.7790864532128056,0.8059658002641354,967.0970607805208,760.1786371638002,0.0005602098599993809,2.3339503030107075e-05,2.391229884068207,0.05301572937359508,1.0604126004079455e-05,0.4631490132958645
405,3.2769976229154456,0.00011276494200867986,3.8019774296078833e-06,0.29113384645706164,0.3320617231538838,1377.1800517091103,975.9573273201414,0.0011740298823965435,2.829122141475425e-05,5.161991337472635,0.0801135991279015,1.8078423607742656e-05,0.445375780164285
465,7.7758984728776115,0.00020789308631632836,7.297042240933997e-06,0.5059450821540026,0.44544576225711824,183.63009277165006,356.89989171635324,0.0007485848627946012,4.5423367194274846e-05,6.897537644979651,0.1752382603359683,1.1997168503628501e-05,0.7024888021431189
525,5.35562661596884,0.00026570880144639126,1.5299806655055554e-05,0.6455214510793517,0.6373209215978181,952.2799086406908,780.5714230607518,0.00038351525991373416,8.323685619858534e-05,3.2744710437070395,0.15347538881876713,2.026074585114897e-05,0.40589358631980654
585,5.937655735764363,0.00016916240420539755,3.538917952207143e-06,0.8846074121248563,0.8218580788643776,-278.2105590148221,715.4157424335438,0.0005459511886323347,0.0001324145163232723,4.473431306735408,0.15519108200308052,2.8472022956603863e-05,0.5174436460098917
645,8.354154589209244,0.0009227429258169793,2.3904524292533606e-06,0.6710827264593197,0.7285371679409909,82.62474305270659,360.9222495386968,0.0001607527953744417,0.0002987148794409594,9.290135479781439,0.06000242896544351,3.3632469467563856e-05,0.35986745337995146
705,8.053528916925059,0.00013812224514050814,1.0088174598534207e-05,0.9852189516929618,0.7853857090120532,165.6679474082399,745.3239546380827,0.00032283383742089713,0.00019500519498506997,5.017061462189185,0.05000861881861578,5.9356475259478784e-05,0.5162314235043604
765,3.0683860538643333,0.0003851837583639788,0.00011543098743601365,1.0232384216100676,0.8302160603343295,-450.45415141614683,448.9698044112225,0.00010915938002362012,0.00030881055761921737,2.31294357041233,0.05858182607495323,6.212383122533554e-05,0.8288382838361861
825,5.8121199745925445,0.00023594551852036157,5.4767009038773574e-05,0.43719121463891736,0.5103682308145073,1101.6009029900065,709.1462437845726,6.219240062863776e-05,0.000849593660129154,1.5023645040998763,0.11181649273874,0.00018750762370308072,0.5356525102338664
885,4.742660530739361,0.00028005494846948845,0.00013751574981478722,0.6557370389292551,0.8892951866199293,889.2552211929657,824.5236747868735,4.7623832007669704e-05,0.0015269120043713402,1.7089342475787277,0.07041515470973841,0.0004424565241666581,0.403114739073118
225,0.5644058115266818,1.2518714742052504e-08,6.627020854306536e-05,1.3595009228570565,1.5260476848814624,7414.1523272866725,567.4469690387733,0.00011404222613711804,3.6414643454660764e-08,0.055435940926856164,0.00030781699617150686,0.0012733473121972168,-1164.741653250428
285,0.41721172498084425,4.128961364279909e-06,7.024025608083311e-05,1.8739943513619013,1.9495654006675889,8431.832470505942,-241.7169835678352,0.0006620821324639099,1.4704207725990945e-07,0.014825370910166419,0.0005558145922192768,0.0014622734474781169,-4.5562271774874326
345,0.9865703239924446,1.4170354689762458e-05,0.00012905736053676764,4.774923722672126,5.2424113090174975,13387.58813440207,-1223.4576427793902,0.0011850114533828481,1.7986845096485012e-07,0.003799512977711768,0.0009818957775918973,0.0024280999413835093,-0.8402734793491944
405,2.8407609610062314,2.61480299773793e-05,0.00027916761805521533,5.636340946992567,6.074525770436011,9444.284885471685,-582.6694112797346,0.0032930179298037783,3.05156357726189e-07,0.0015658380162098967,0.0009161046938297444,0.0028877764967825802,-0.4210326319275282
465,3.727375249953647,1.7148174142346108e-05,0.0001756884495439401,4.452795877236868,4.586396227063752,13119.631349604737,172.38972112183745,0.001516783283712007,7.010106556207548e-08,0.0008486157587055126,0.0001910765731000498,0.0013087467052472087,-0.216404138993376
525,1.6646845277441458,3.630644372029866e-05,0.0003951795728594773,28.238047854489242,28.051459407733752,19355.8613998674,-2442.58428881517,0.0015430439724333053,2.1719319393318273e-07,0.0008598090546590418,0.0006622806326658697,0.0009080526405233726,-0.6172014869058662
