,kpa,kSTATbinding,kSOCSon,kd4,k_d4,delR,meanR,kloc,kSOCSmRNA,mRNAdeg,mRNAtrans,kSOCS,gamma
180,4.46520047964191,7.394183489265128e-06,8.906087894889035e-06,0.9169715095791677,0.0501890262697398,-3549.805553815597,3067.9563309475448,0.03746414719869587,0.12880737238640766,1.4897512459891343e-05,0.013368492248279499,0.0008786598718578661,1.8835155256120053
210,7.591147153726709,4.380364779626395e-06,6.2634743987291776e-06,2.104423533368909,0.007235188343448167,-822.5604372126102,5127.671394374255,0.0942676156450198,0.1220421131374968,8.583171024246718e-06,0.007696782200343962,0.0005882795824695272,0.8819981290776208
240,4.8050030239036055,1.9578126390796742e-05,1.0729591142371905e-05,1.2854160941268384,0.13322769511736612,-4421.498451859648,3232.567183636515,0.04100485459987263,0.18107403865464694,1.4027206928315093e-05,0.03583340785434571,0.0004185848522198457,1.176465460865568
270,5.548584532243959,2.5346069508092405e-05,6.7110473854143796e-06,1.221549215258405,0.034658427791812475,-6050.893772074041,4172.259237420187,0.04255456069108105,0.21000513231169687,1.0445100349899603e-05,0.03575549827078923,0.00026262731416433005,0.7304842511263417
300,6.2318974094305,2.0122226523972423e-05,1.0053540672742771e-05,0.47354135610467474,0.13775871218206953,-10182.940043067054,5454.440682379425,0.02682260952411337,0.8223503073796836,1.064477910132199e-05,0.025125278802733745,8.75822153801665e-05,1.3806991334539946
330,4.395037579075845,6.527263934314775e-06,1.3847222582797767e-05,1.0837160802998969,0.1370982623719511,-10340.128584772709,5972.817031872769,0.03834876545309606,1.0072410604808202,9.708486083840008e-06,0.009472639763900134,6.272303261227439e-05,2.121162379852446
360,4.364140929617849,1.4382130452726665e-05,1.3288464319612675e-05,1.5271714996108101,0.004324615487331849,-9924.921571335675,5969.781011063574,0.043226932797676317,0.6568997072357929,1.3351541143849123e-05,0.009775837862250844,4.2717055560159864e-05,0.9801710100059636
390,5.423522735529064,9.321399175143426e-06,1.3026690061325693e-05,1.3227665735447927,0.0020711517302848806,-9403.677812400843,6124.275418621295,0.03733694165105681,0.5977382368610588,1.3092742171979307e-05,0.005208665386278689,0.00010398512128495153,1.093893409992432
420,3.764412744110353,2.543701555764267e-05,8.845822113629662e-06,2.7104104902483144,0.3141027451256435,-10695.90211558401,6263.028067055752,0.021042311769021365,0.6586870006830101,2.783313495936967e-05,0.03179725455660713,6.523305696244537e-05,0.9344707292619794
450,2.258627682347882,2.0968822261615926e-06,5.702561419202063e-06,2.61123710235598,0.03404863872095744,-5719.112492672674,6843.558954859215,0.02312679638974204,1.0211101874513757,1.2403240504713609e-05,0.06482778303763571,7.382531506087002e-05,2.5642607629569802
480,2.679440913512925,1.1214179648420141e-05,5.167662139308736e-06,2.3365685589872265,0.00481263485638215,-6557.095947111487,6208.664492463572,0.04426718205198097,0.9834239482701699,8.317854759377535e-05,0.05273091926281955,8.028465680967061e-05,0.9293096855779389
510,3.131010137301363,2.2334856991868542e-05,1.0664433557874287e-05,1.9521869002473398,0.007842845773743867,-7357.4066386975965,4260.966186278589,0.036612017431744734,0.9702805319770872,6.268797991060323e-05,0.08737636577625092,2.523973866008898e-05,1.2496866844092211
540,3.8774610504089058,2.5436458652511334e-05,4.175477805065734e-06,1.8239964934425055,0.05495196274663232,-9676.058838615532,5379.018949058343,0.025537320961982274,2.272208658708646,6.50209971889157e-05,0.057289962558985996,4.127032228015667e-05,1.1507607589228503
570,4.616074952291137,1.4241107367630435e-05,2.8808205104936738e-06,1.7216040002590132,0.007467276430280363,-7696.359172422131,4618.9884334592325,0.02190259234632193,2.282946492100707,0.00012619452933559548,0.040529988983586424,3.620430532253567e-05,1.2365342539816098
600,4.168057925098047,3.828155718915731e-06,2.9179149022494907e-06,0.6829128582644315,0.0172501903126284,-6584.430238418584,4681.909729143255,0.027882115248270146,1.763721745785917,9.382929980684131e-05,0.24487299062191953,0.0001394587588503788,2.560287231042602
