,kpa,kSOCSon,kd4,k_d4,delR,meanR,kIntBasal_r1,kIntBasal_r2,kint_IFN,krec_a1,krec_a2,krec_b1,krec_b2,gamma
90,0.020961013275596754,8.973647429198153e-05,1.5441291776361963,0.32906213665395395,-676.4050437665237,458.80637487237755,0.07907207556131536,0.11506512116898111,0.2859073518136931,0.0910029057302635,1.0202323014113934,0.09170681020400455,0.4041847642836264,0.6113861561481354
120,0.021926474460212304,7.352485135815064e-05,7.937096747551784,0.7447795207616495,-3399.5281204984467,1979.874090891365,0.09457448967668905,0.06882485774543132,0.2867856941488078,0.02544920673948159,2.0193783801747136,0.07486021618583101,0.21523799034355567,0.39226482761553866
150,0.006178893401866314,0.0002468803889770914,0.9492789804450705,0.026801451830892237,-700.2496654391441,750.4732078494098,0.05385276203002152,0.09152482293288232,0.33393493100591226,0.014405832283506101,3.3489335024597175,0.0882316492359285,0.17360180722660606,0.5535048199955298
180,0.004733735488861444,0.0006258834499229498,0.8488115041966674,0.03472915694689124,-2973.2530441970557,1593.9575422042735,0.06797093053589345,0.08275189099102814,0.2350788852742408,0.01376179618858658,1.7623681032445928,0.08429946645721496,0.2843381496792812,1.2712587482817128
210,0.0007348565351986259,0.0001752873933650553,0.6335535956470734,0.029614101582965003,-2555.6903592443596,1425.6108528580282,0.04079482954153743,0.053291848652088726,0.12185962319330884,0.014942543619736728,1.5152063176401103,0.08403056581684279,0.8331378877868598,1.4717336131951124
240,0.0007586452287926819,4.403484746041054e-05,1.6251905803530184,0.08665982487850199,-3396.2435531929386,2245.4272480552254,0.04001433718602662,0.0757406072623927,0.0683200446810345,0.040088309341967054,2.0550030705205478,0.09315406042820516,0.6684922500406555,0.5551350657056827
270,0.0004503846325646561,1.1716485066650979e-05,0.6375141093964641,0.101468588064846,-1235.5988745508891,1032.9243933659582,0.03248350571946496,0.0998179602515744,0.07856992011813657,0.029321818319151288,4.4897418039782435,0.015835032380908387,0.7960477322635008,0.5441497881771887
300,0.0003523663593801207,4.129464875556183e-06,0.507447185255957,0.41643466012384356,-1692.7179126084673,956.759332716702,0.05319877963750705,0.13564336475103297,0.27357458610692054,0.03575942342026941,4.628971830950138,0.010574458932161523,0.7464386132146603,0.8568669912700918
330,0.00022339900160857267,2.4701468180438887e-06,0.40703872709687855,0.6146699309391878,198.1887583677622,341.91041947179764,0.07893265978103609,0.15366572179805427,0.34890528417255734,0.03301806064127262,1.9697306785241346,0.013477481346432651,0.9508713616441559,1.3332993721726654
360,8.979690526805901e-05,9.949916701350783e-07,0.31806567262110275,0.5244118298260376,479.2829703456826,753.4466239135237,0.07327385218636738,0.12325672521259494,0.35952601978358606,0.0625496487171783,2.365590471282052,0.031727748868926695,0.8088003595063292,0.7212703728633422
390,5.494982407694135e-05,1.439409061612967e-06,0.8605873412395986,0.569292045121872,465.2619432751944,795.59781677656,0.06127580627403908,0.12065746000981982,0.19485708138955923,0.02165937649254485,3.449544437828479,0.011857435184223513,0.8364755680503845,1.1487448347019646
420,3.988823214773648e-05,1.462971061686024e-06,0.5493329034401123,0.6113478987013695,-1029.376185302262,1188.9580509590182,0.02820192072751234,0.17433293326916352,0.1966182834973193,0.031008362981469487,3.907091122550713,0.007579530038803709,0.6082202179177808,0.9910224849484538
450,3.4098394598983105e-05,1.6251589117214845e-06,0.7474352450256204,0.640816959202558,-252.70609267768006,1096.9715930888283,0.04824291542554599,0.15810198671244854,0.1939042382624317,0.023349731081849328,3.7101448240566564,0.0042229735917053745,0.5509360267454432,1.1214452070055076
