,kpa,kSOCSon,kd4,k_d4,delR,gamma
250,8.989751120135588e-06,2.484469445336793e-06,0.6043511534321986,0.4910695140396575,-1582.381408825905,1.4851020225527374
340,8.871702793938205e-06,3.1063585884901e-06,0.5309781978958872,0.4452043867725204,-990.8017837156746,1.3969243101956037
430,8.117984684332006e-06,3.4767352439186264e-06,0.5150699624556356,0.3908686679395985,-1804.395551860264,1.670537211894478
751,8.103260624676227e-06,3.2880763273787124e-06,0.6195502437391208,0.531559977960439,-1386.6472988989237,1.6647785252700684
841,1.3075413145835691e-05,2.127199788962236e-06,0.6837554602374519,0.5988393058021376,-2108.10458716768,1.3554348032528205
931,1.7916061841671282e-05,1.709625078586765e-06,0.8692859425096953,0.8643795120716466,-1878.1319660322715,1.1540288877014786
1252,1.4199642554229484e-05,2.1701863476897306e-06,0.8048469476819681,0.7579717128730905,-2383.910532667553,1.5011036606342778
1342,7.653340889569115e-06,2.4958810462940858e-06,0.6534437840521138,0.6524465429251757,-27.54419793780466,1.4961779475492771
1432,9.490371700498642e-06,2.9519997697830898e-06,0.6088975841165807,0.44644350558380935,-1405.0013937541544,1.4359134798082889
1753,1.0312393950832053e-05,1.9720453040653583e-06,0.5884648021119658,0.4062304542616689,-964.9919949667767,1.151668461261689
1843,1.2408676864479693e-05,1.4864713019548419e-06,0.8474841436317284,0.7060679108415957,-811.2912111050421,1.1332608146267695
1933,1.1480962586154111e-05,2.041929077032173e-06,0.6708581286327346,0.5786451187757227,-1157.0338479887935,1.2197347084931884
2254,1.0905789925887562e-05,2.207251452162119e-06,0.67398465010893,0.5136693631796747,-1640.8649152691382,1.3395292204294973
2344,1.4901557132609576e-05,1.8700296962709095e-06,0.7652237812348984,0.8070135022476379,-1541.5575757784086,1.1906600170912796
2434,8.342440368846016e-06,2.5917255631211543e-06,0.5785697064764243,0.5707678578004971,-403.69465812453933,1.3963718695504037
2755,8.398710469399573e-06,2.534171120297789e-06,0.5545781735425688,0.42257986743093945,-1623.7957580496395,1.5001947111169551
2845,9.564139720193304e-06,2.283286606912867e-06,0.6268489565662511,0.5235137971092162,-286.03484553946345,1.2429367763636197
2935,1.0663137588234401e-05,2.056527660336296e-06,0.7317891613105891,0.6323638511185258,-1244.1863802803266,1.328643243120884
