,kpa,kSOCSon,kd4,k_d4,delR,meanR,gamma
100,0.0034602088037022608,1.8168652174170534e-07,31.246101056342017,0.003241609135268073,-768.2507558780835,2073.0524246579525,0.2352046062842363
108,0.004551434051171803,1.7617452477434412e-07,18.79150895299463,0.0011262295206522204,-1194.403666822948,2579.3953304791785,0.19897995688099587
116,0.002586874339190783,1.3573731774477636e-07,14.709947078419548,0.003082011529153411,-2807.7493098309446,2781.734544205249,0.21104046979954305
124,0.003273630622866649,1.2315280796172211e-07,11.254568865255413,0.0005197491063703903,-3075.180431562123,3542.316472556013,0.16814952968724306
132,0.002898941261990673,1.1482486396348366e-07,18.214424546945892,0.00043232952992132043,-501.31287911956383,2470.878361388709,0.21009388156364744
140,0.002118171654673062,1.3105998670252983e-07,34.22834890009892,0.0017588278294203398,778.7482986824817,2353.347791655672,0.23819876742399146
148,0.0019115702812057649,1.3655403730283325e-07,24.846533701383013,0.002443623243463061,154.39081163885598,1860.0545737497134,0.24263237284883984
156,0.0023521163651350485,9.5123591840663e-08,27.263378531637425,0.0014485551740911705,91.27265550404049,2758.4464220926457,0.22019650617037856
164,0.0035456306037517813,9.289451864098984e-08,22.294910394637586,0.030829178605308562,-1852.1938951919954,2329.104784704877,0.217367811713556
172,0.0037767575556877718,6.611557521087513e-08,21.56708994205211,0.10373945530791044,-2356.645953830672,1419.0256706441453,0.2546581167334015
180,0.006920635523962239,8.174635671036937e-08,38.334786726361344,0.08286688824232451,-2099.346512000237,1712.264773652619,0.2358492753774026
188,0.005434347742163282,5.831999192165214e-08,28.149520904826,0.009833980000632474,-2589.988140726243,1495.4090159519662,0.2496251491622373
196,0.005969938957395922,7.886799043781442e-08,33.27726105032256,0.14660186099688166,-128.31468932576982,3147.1161919284523,0.1825575166158329
204,0.005849429081454444,1.3926478081144678e-07,23.073317355858546,0.6025025189662363,-2112.3270924096314,2403.9496847584114,0.2063353080648307
212,0.00560529213630412,1.2385139897999412e-07,22.629105434468972,0.0980287157659485,-3720.560645717081,2435.873014192287,0.22583167162373835
220,0.003616130335448662,1.666740971141456e-07,10.93619546924772,0.04494956571193719,-5197.703150318661,2800.55855770692,0.2463677125495177
228,0.00482422818816301,1.492522182149291e-07,8.494814837457486,0.0371467124487535,-4555.282398843231,2419.085842435816,0.2444978752699487
236,0.003880091692416471,1.6947165170281466e-07,18.252755405278684,0.04081277622803806,-4455.555821052305,2928.098346565545,0.22333584895744765
244,0.0034898901372483965,1.6138592331181302e-07,17.96992222282341,0.07559463808253725,-3955.315174567195,3034.270456976007,0.2130065821512346
252,0.0037305614946120617,1.611753790674249e-07,28.489949263037936,0.10645193342132772,-3125.576004274341,2294.3937563947993,0.2403061178738161
260,0.003453348726021105,1.5251660930323875e-07,25.19822973309041,0.08001355137833925,-1379.8279423977524,1731.4523406590936,0.24043897687857485
268,0.004595874638498854,1.6311658238609213e-07,19.78635985553105,0.3198996942385001,-1526.4789582741698,1240.2614314582024,0.25489244738171146
276,0.005062286514326269,1.8053425413349524e-07,7.43897993879565,0.8656597715352365,-2522.852854100693,1446.6046932430663,0.2807900537681264
284,0.002854615946943707,1.7936021713365402e-07,13.341041995675536,0.6015347560724258,-2294.604621459493,1572.6434594493492,0.2711390270318911
292,0.004187112910967935,1.2293897416802775e-07,5.94010709233199,0.6655091323173592,-1997.93354702038,1342.7864310596178,0.2440473337022274
300,0.006160885035801717,1.8862081821362688e-07,10.85572809789352,0.4570529174199411,-1858.492784562576,1037.60696202282,0.3008748459705913
308,0.008567695983559859,1.4132378290987306e-07,12.21652415966552,0.45033744645863705,-2470.00152604138,1608.02403526354,0.22485620403623705
316,0.008146286282715897,1.3747559793279392e-07,11.258685545808117,0.33486175510423805,-4646.349232308698,2486.482235310981,0.2333063627811593
324,0.005595375042008031,2.448836276441826e-07,16.576963721417254,0.03474059114313312,-4669.886405982843,2485.143818295272,0.2541715669092385
332,0.004314766652269093,1.5670428574939758e-07,34.51685218726128,0.025173760380819418,-2392.9210373166475,2679.897186899018,0.22288279201508832
340,0.005373714499059658,1.7627924846958693e-07,38.07153985609083,0.07411175196833149,-2073.1466144205656,3227.730146230015,0.20411715127122326
348,0.004656176039416883,1.0998021117362168e-07,35.39163031766597,0.19167825434312566,-3154.6769701524618,2751.30131494335,0.221636661998847
356,0.005288754894147421,1.0369341765254797e-07,38.333733872861046,0.6715094948956026,-2697.178163276982,2978.957702074821,0.209151806012111
364,0.0057550961794671455,8.50710632202673e-08,24.64726778347059,0.5414128694633016,-2450.064601635711,1745.7441819409191,0.23816919431528105
372,0.0045489323474016035,9.461957821478373e-08,33.4524684856157,0.6838900761953098,-960.5090767840704,1326.2681167480764,0.2508657966600917
380,0.006971216535426707,6.160651409705535e-08,21.996655443909663,0.5277603840751637,-1203.8073362962002,1584.1743020832205,0.2170383623994284
388,0.009109195371037576,5.4014625935811305e-08,21.071290358256174,0.11333445664229876,-1138.41914175467,1794.1921808338186,0.1933914964121239
396,0.005943508777177534,3.4664790567471806e-08,30.09037842776188,0.5521539608585987,-1853.8728176439286,2144.5583313105217,0.21038705119341905
404,0.006482508235046664,3.2060779996609355e-08,13.124876796314044,0.5373343457536554,-888.1923600332992,1013.5303678863477,0.2302924312698948
