,Lymphocytes/B cells | Geometric Mean (Comp-FITC-A)
Specimen_001_A1_A01_001.fcs,256
Specimen_001_A2_A02_002.fcs,418
Specimen_001_A3_A03_003.fcs,304
Specimen_001_A4_A04_004.fcs,355
Specimen_001_A5_A05_005.fcs,315
Specimen_001_A6_A06_006.fcs,378
Specimen_001_A7_A07_007.fcs,314
Specimen_001_A8_A08_008.fcs,384
Specimen_001_A9_A09_009.fcs,269
Specimen_001_A10_A10_010.fcs,346
Specimen_001_A11_A11_011.fcs,290
Specimen_001_A12_A12_012.fcs,307
Specimen_001_B1_B01_013.fcs,403
Specimen_001_B2_B02_014.fcs,649
Specimen_001_B3_B03_015.fcs,305
Specimen_001_B4_B04_016.fcs,553
Specimen_001_B5_B05_017.fcs,285
Specimen_001_B6_B06_018.fcs,388
Specimen_001_B7_B07_019.fcs,349
Specimen_001_B8_B08_020.fcs,359
Specimen_001_B9_B09_021.fcs,338
Specimen_001_B10_B10_022.fcs,292
Specimen_001_B11_B11_023.fcs,278
Specimen_001_B12_B12_024.fcs,411
Specimen_001_C1_C01_025.fcs,530
Specimen_001_C2_C02_026.fcs,775
Specimen_001_C3_C03_027.fcs,401
Specimen_001_C4_C04_028.fcs,1010
Specimen_001_C5_C05_029.fcs,333
Specimen_001_C6_C06_030.fcs,728
Specimen_001_C7_C07_031.fcs,330
Specimen_001_C8_C08_032.fcs,587
Specimen_001_C9_C09_033.fcs,338
Specimen_001_C10_C10_034.fcs,464
Specimen_001_C11_C11_035.fcs,271
Specimen_001_C12_C12_036.fcs,367
Specimen_001_D1_D01_037.fcs,665
Specimen_001_D2_D02_038.fcs,836
Specimen_001_D3_D03_039.fcs,620
Specimen_001_D4_D04_040.fcs,1273
Specimen_001_D5_D05_041.fcs,443
Specimen_001_D6_D06_042.fcs,1006
Specimen_001_D7_D07_043.fcs,329
Specimen_001_D8_D08_044.fcs,713
Specimen_001_D9_D09_045.fcs,318
Specimen_001_D10_D10_046.fcs,619
Specimen_001_D11_D11_047.fcs,314
Specimen_001_D12_D12_048.fcs,500
Specimen_001_E1_E01_049.fcs,871
Specimen_001_E2_E02_050.fcs,825
Specimen_001_E3_E03_051.fcs,836
Specimen_001_E4_E04_052.fcs,1265
Specimen_001_E5_E05_053.fcs,464
Specimen_001_E6_E06_054.fcs,1093
Specimen_001_E7_E07_055.fcs,384
Specimen_001_E8_E08_056.fcs,926
Specimen_001_E9_E09_057.fcs,310
Specimen_001_E10_E10_058.fcs,639
Specimen_001_E11_E11_059.fcs,325
Specimen_001_E12_E12_060.fcs,557
Specimen_001_F1_F01_061.fcs,825
Specimen_001_F2_F02_062.fcs,812
Specimen_001_F3_F03_063.fcs,1099
Specimen_001_F4_F04_064.fcs,1284
Specimen_001_F5_F05_065.fcs,800
Specimen_001_F6_F06_066.fcs,1191
Specimen_001_F7_F07_067.fcs,644
Specimen_001_F8_F08_068.fcs,1069
Specimen_001_F9_F09_069.fcs,419
Specimen_001_F10_F10_070.fcs,802
Specimen_001_F11_F11_071.fcs,370
Specimen_001_F12_F12_072.fcs,654
Specimen_001_G1_G01_073.fcs,815
Specimen_001_G2_G02_074.fcs,877
Specimen_001_G3_G03_075.fcs,1281
Specimen_001_G4_G04_076.fcs,1348
Specimen_001_G5_G05_077.fcs,1149
Specimen_001_G6_G06_078.fcs,1295
Specimen_001_G7_G07_079.fcs,1055
Specimen_001_G8_G08_080.fcs,1306
Specimen_001_G9_G09_081.fcs,834
Specimen_001_G10_G10_082.fcs,914
Specimen_001_G11_G11_083.fcs,636
Specimen_001_G12_G12_084.fcs,776
Specimen_001_H1_H01_085.fcs,869
Specimen_001_H2_H02_086.fcs,984
Specimen_001_H3_H03_087.fcs,1390
Specimen_001_H4_H04_088.fcs,1447
Specimen_001_H5_H05_089.fcs,1464
Specimen_001_H6_H06_090.fcs,1488
Specimen_001_H7_H07_091.fcs,1436
Specimen_001_H8_H08_092.fcs,1596
Specimen_001_H9_H09_093.fcs,1211
Specimen_001_H10_H10_094.fcs,1165
Specimen_001_H11_H11_095.fcs,811
Specimen_001_H12_H12_096.fcs,964
