,Well,Concentration (Mol),Cytokine,Time (min),pSTAT1 in B cells,pSTAT1 in CD8+ T cells,pSTAT1 in CD4+ T cells
export_Specimen_001_A1_A01_001_Lymphocytes.fcs,A1,1.00E-07,IFN-alpha,2.5,2021.077637,3866.855316,3596.376099
export_Specimen_001_A2_A02_002_Lymphocytes.fcs,A2,2.00E-09,IFN-beta,2.5,2398.385254,4622.205994,4298.967651
export_Specimen_001_A3_A03_003_Lymphocytes.fcs,A3,1.00E-07,IFN-alpha,5,3033.23645,5515.429657,5178.176147
export_Specimen_001_A4_A04_004_Lymphocytes.fcs,A4,2.00E-09,IFN-beta,5,3467.086426,5783.508957,6100.238892
export_Specimen_001_A5_A05_005_Lymphocytes.fcs,A5,1.00E-07,IFN-alpha,7.5,3771.279266,6890.363831,6094.644287
export_Specimen_001_A6_A06_006_Lymphocytes.fcs,A6,2.00E-09,IFN-beta,7.5,4383.158752,8278.040588,7216.824341
export_Specimen_001_A7_A07_007_Lymphocytes.fcs,A7,1.00E-07,IFN-alpha,10,5131.378632,8362.538666,7668.045044
export_Specimen_001_A8_A08_008_Lymphocytes.fcs,A8,2.00E-09,IFN-beta,10,5245.028137,9084.609772,8090.230469
export_Specimen_001_A9_A09_009_Lymphocytes.fcs,A9,1.00E-07,IFN-alpha,20,4552.973053,7717.87027,5942.132324
export_Specimen_001_A10_A10_010_Lymphocytes.fcs,A10,2.00E-09,IFN-beta,20,4390.78894,7414.36853,5818.276245
export_Specimen_001_A11_A11_011_Lymphocytes.fcs,A11,1.00E-07,IFN-alpha,60,2444.744537,3808.923065,2903.424316
export_Specimen_001_A12_A12_012_Lymphocytes.fcs,A12,2.00E-09,IFN-beta,60,2064.333038,3306.398773,2505.793335
export_Specimen_001_B1_B01_013_Lymphocytes.fcs,B1,1.00E-08,IFN-alpha,2.5,1791.819824,3425.58432,3236.818481
export_Specimen_001_B2_B02_014_Lymphocytes.fcs,B2,6.00E-10,IFN-beta,2.5,1438.872314,3081.783875,2720.819458
export_Specimen_001_B3_B03_015_Lymphocytes.fcs,B3,1.00E-08,IFN-alpha,5,2582.166138,5248.723114,4660.52478
