IFN,IFNAR,siRNA_kd_level,Activity,Error_bar
IFN-YNS,IFNAR1,100,100,1
IFN-YNS,IFNAR1,83,77,5
IFN-YNS,IFNAR1,72,60,3
IFN-YNS,IFNAR1,59,50,4
IFN-YNS,IFNAR1,37,36,8
IFN-YNS,IFNAR1,17,21,7
IFN-YNS,IFNAR2,100,100,1
IFN-YNS,IFNAR2,92,90,13
IFN-YNS,IFNAR2,84,85,12
IFN-YNS,IFNAR2,64,73,5
IFN-YNS,IFNAR2,51,69,10
IFN-YNS,IFNAR2,41,53,8
IFNa2,IFNAR1,100,100,1
IFNa2,IFNAR1,83,80,8
IFNa2,IFNAR1,72,60,14
IFNa2,IFNAR1,59,46,13
IFNa2,IFNAR1,37,33,8
IFNa2,IFNAR1,17,17,9
IFNa2,IFNAR2,100,100,1
IFNa2,IFNAR2,93,100,11
IFNa2,IFNAR2,85,96,8
IFNa2,IFNAR2,64,97,9
IFNa2,IFNAR2,51,86,17
IFNa2,IFNAR2,41,60,10
