Dose_Species,Dose (nM),Cell Proliferation,Std
IFNa2,1.00E-05,100,1
IFNa2,2.96E-05,100,1
IFNa2,8.73E-05,100,1
IFNa2,2.58E-04,100,1
IFNa2,7.63E-04,100,1
IFNa2,2.25E-03,88,7
IFNa2,6.66E-03,95,2
IFNa2,1.97E-02,90,5
IFNa2,5.82E-02,87,2
IFNa2,1.72E-01,84,3
IFNa2,5.08E-01,74,6
IFNa2,1.50E+00,38,2
IFNa2,4.44E+00,29,3
IFNa2,1.31E+01,20,2
IFNa2,3.87E+01,16,1
IFNa2,1.15E+02,13,1
IFNa2,3.38E+02,13,1
IFNa2,1.00E+03,13,1
IFNa7,1.00E-05,100,1
IFNa7,2.96E-05,100,1
IFNa7,8.73E-05,100,1
IFNa7,2.58E-04,100,1
IFNa7,7.63E-04,100,1
IFNa7,2.25E-03,84,6
IFNa7,6.66E-03,92,8
IFNa7,1.97E-02,100,8
IFNa7,5.82E-02,105,5
IFNa7,1.72E-01,88,6
IFNa7,5.08E-01,77,2
IFNa7,1.50E+00,57,3
IFNa7,4.44E+00,40,1
IFNa7,1.31E+01,26,1
IFNa7,3.87E+01,22,1
IFNa7,1.15E+02,18,4
IFNa7,3.38E+02,10,3
IFNa7,1.00E+03,10,3
IFNw,1.00E-05,100,1
IFNw,2.96E-05,100,1
IFNw,8.73E-05,100,1
IFNw,2.58E-04,100,1
IFNw,7.63E-04,100,1
IFNw,2.25E-03,90,4
IFNw,6.66E-03,105,5
IFNw,1.97E-02,98,5
IFNw,5.82E-02,92,3
IFNw,1.72E-01,76,3
IFNw,5.08E-01,53,3
IFNw,1.50E+00,30,3
IFNw,4.44E+00,20,1
IFNw,1.31E+01,15,1
IFNw,3.87E+01,12,1
IFNw,1.15E+02,10,1
IFNw,3.38E+02,0,1
IFNw,1.00E+03,0,1
IFNa2_YNS,1.00E-05,100,1
IFNa2_YNS,2.96E-05,105,6
IFNa2_YNS,8.73E-05,88,7
IFNa2_YNS,2.58E-04,87,5
IFNa2_YNS,7.63E-04,70,7
IFNa2_YNS,2.25E-03,38,3
IFNa2_YNS,6.66E-03,25,4
IFNa2_YNS,1.97E-02,14,1
IFNa2_YNS,5.82E-02,8,1
IFNa2_YNS,1.72E-01,5,1
IFNa2_YNS,5.08E-01,0,1
IFNa2_YNS,1.50E+00,0,1
IFNa2_YNS,4.44E+00,0,1
IFNa2_YNS,1.31E+01,0,1
IFNa2_YNS,3.87E+01,0,1
IFNa2_YNS,1.15E+02,0,1
IFNa2_YNS,3.38E+02,0,1
IFNa2_YNS,1.00E+03,0,1
