,parameter,2.5%,25%,50%,75%,95%
0,kpu,0.0010664216165800575,0.001586138825831492,0.0020502972673036835,0.002619507407959908,0.002893575985322453
1,kSOCSon,1.3421385809447793e-08,4.2668714843541786e-08,9.384527803786451e-08,1.3784455332798685e-07,1.9008901451755706e-07
2,R1,1855.9571973497982,2134.2609355405307,2510.2647706470766,2903.820770027063,3190.6367512344696
3,R2,5023.810284578963,5215.579107666796,5501.428442297203,5774.422914856953,5933.939313603015
4,kd4,0.3298805885549128,0.47136332662859765,0.6134788667148473,0.7641791678105982,0.8763872376262187
5,k_d4,0.06581177874357981,0.10415657312293644,0.143982457041189,0.17830885892805304,0.21926284494303816
6,kint_b,0.0003058137726809563,0.00034219135095706857,0.0003962495299649264,0.00044681957544997976,0.00047552795489430805
7,krec_b1,0.0003047481383191237,0.0003409582103761859,0.00038841786208405627,0.0004325752480846454,0.0004700474408551416
8,kSOCSon,1.3421385809447793e-08,4.2668714843541786e-08,9.384527803786451e-08,1.3784455332798685e-07,1.9008901451755706e-07
9,ka1,9.96345e-15,9.96345e-15,9.96345e-15,9.96345e-15,9.96345e-15
10,ka2,1.5142367820370495e-13,1.7938004249276333e-13,2.0195660032813972e-13,2.2388607979072287e-13,2.421366936032705e-13
11,kint_a,0.00023314631171498522,0.0005916360014110086,0.0008442359266468572,0.0011312441421205929,0.0013365687434095976
12,krec_a1,0.0002929161561113089,0.002431552287004176,0.004494599220287328,0.006669578894652072,0.008553999867007417
13,k_a1,5.087483941443834e-14,6.253141306407664e-14,7.460272961657848e-14,8.662866399389301e-14,9.7506168352207e-14
