# keys: 25
# tests: 25.0
---------------------------------------------------------
kpa          kSOCSon          score
1.000e-06    1.000e-06    0.629068530513
3.162e-05    3.162e-05    22.8071496262
1.000e-06    3.162e-05    22.9279990962
3.162e-05    1.000e-03    23.5336562906
1.000e-06    3.162e-08    29.6566457928
1.000e-03    1.000e-03    32.8271740187
1.000e-06    1.000e-09    34.1020378752
3.162e-08    1.000e-09    34.93355616
3.162e-08    3.162e-08    34.9402772558
3.162e-08    1.000e-06    35.1335952155
1.000e-06    1.000e-03    35.8159860315
3.162e-08    3.162e-05    36.8423797677
3.162e-08    1.000e-03    38.0124659509
1.000e-09    1.000e-09    40.2009859093
1.000e-09    3.162e-08    40.2009933381
1.000e-09    1.000e-06    40.2012147371
1.000e-09    3.162e-05    40.2039604891
1.000e-09    1.000e-03    40.205986198
3.162e-05    1.000e-06    967.466974558
1.000e-03    3.162e-05    1300.86173809
3.162e-05    3.162e-08    3260.8895804
3.162e-05    1.000e-09    3493.54417209
1.000e-03    1.000e-06    5281.3399376
1.000e-03    3.162e-08    5930.45343922
1.000e-03    1.000e-09    5948.97423701
